sample_HFS166	sample_HFS167	sample_HFS168	sample_HFS169	sample_HFS170	sample_HFS207	sample_HFS208	sample_HFS209	sample_HFS210	sample_HFS223	sample_HFS224	sample_HFS225	sample_HFS226	sample_HFS227	sample_HFS268	sample_HFS269	sample_HFS270	sample_HFS271	sample_HFS272	sample_HFS318	sample_HFS319	sample_HFS320	sample_HFS321	sample_HFS322
LOC129405750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405751	0.792125	0	1.85933	1.69438	1.63741	0.888904	0.43641	2.87169	0.517297	0.309152	0.275379	1.02832	0	0.283713	0	1.73256	1.4444	0.626904	2.71123	0.362644	2.26892	0.452692	2.4331	0.89929
LOC129405754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405757	954.339	1104.56	1304.63	934.784	821.02	540.527	354.06	528.129	270.839	766.107	454.702	602.937	489.447	733.132	950.928	590.654	595.577	812.85	515.027	739.454	275.821	886.123	616.271	654.171
LOC129405759	0.247176	0.161151	0.512883	0.769285	0.121397	0.172981	0.341141	0.406148	0.134098	0.328206	0.651237	0	0	0.295769	0.341855	0.113042	0.614427	0.768179	0.273576	0.233424	0.376204	0.0597455	0.383339	0.295207
LOC129405760	0	0	1.3951	0.948063	0	0	0.281176	0.283833	0.997534	0	0	3.73536	0	0	1.11732	1.11659	0.792293	1.07378	0.809677	0	0.26519	0.289964	0	1.14944
LOC129405761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405762	3.27316	4.68033	3.27043	4.58804	4.63638	2.53183	5.24296	3.06529	3.58804	2.85244	5.21658	3.66619	3.77143	2.14643	5.19453	4.0823	3.88689	6.07041	3.17028	2.52671	4.16038	0.852429	2.76444	4.50802
LOC129405763	6.43629	2.82241	6.32737	11.885	9.41723	5.64801	5.50217	20.2643	9.63061	9.74785	0.530543	7.33192	12.843	5.4769	9.75648	7.15512	6.87157	7.68855	5.69149	6.47083	5.23366	13.2199	4.25531	4.35961
LOC129405764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0541909	0	0	0	0
LOC129405765	457.726	593.875	727.579	910.855	821.501	528.532	879.968	944.83	899.504	631.192	634.384	947.197	1105.88	921.86	990.344	1076.18	1173.04	961.818	1006.22	834.107	940.735	954.642	894.39	1103.73
LOC129405767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405768	0.164853	1.566966	2.565216	1.63517	6.53479	5.36421	0.506138	6.943432	1.67195	8.60419	0.765333	6.89638	2.86804	1.39971	8.61166	2.096807	6.361061	1.316926	2.57082	5.067156	2.513257	5.43486	3.237453	7.25321
LOC129405769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405771	0	0	0	0	0	0	5.04491	3.47535	0	0	0	0	4.5094	0	5.00212	0	3.2983	0	0	0	0	0	0	0
LOC129405773	2.9453	1.48225	0.28616	1.01955	1.52377	0.771033	1.14118	1.84461	1.68098	2.24863	1.08909	1.07888	1.83813	1.7307	0.190655	1.32394	0.84356	0.22952	0.320308	1.01403	3.54983	1.14977	1.65627	0.246987
LOC129405774	2.76602	3.01107	2.87085	4.2667	6.08178	0.487771	2.28288	4.72943	0.576783	8.88741	4.04924	6.61908	1.09503	2.07443	0.794744	2.67845	0.756309	2.99494	4.88918	2.54336	4.97377	2.99196	1.25164	3.7142
LOC129405775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405778	0.31673	1.31828	1.5716	1.23488	0.134904	0.2576	0.834304	1.8161	0.60564	0.730164	0.402227	0.955772	0.523374	1.55017	4.69835	1.00517	0.500911	1.0851	2.67646	0.261712	0.300717	1.17676	0.957757	1.05844
LOC129405780	1.24374	0.270281	1.14869	0.738605	0.393174	1.03525	0.408786	0.459194	0.192589	0.141359	0.520113	0.654454	0.56447	0.690599	0.327895	0.365939	1.29229	0.631595	0.590092	0.0670088	0.463492	0.429927	0.413384	0.339847
LOC129405781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405782	0.51941	0.142338	0.724003	0.755277	0.322523	0.254593	0.261255	0.909613	0.409545	0	0.892363	0.92737	1.77641	0.394561	1.29986	0.120538	0.765623	0.445759	0.916827	0.553324	0.603089	0.129044	1.07612	0.467113
LOC129405783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405785	2.08689	2.13735	2.60919	2.27909	3.04694	2.17728	1.04444	2.1557	1.91183	1.57868	2.05534	2.74852	2.08289	2.92426	2.9261	2.97416	2.12727	4.27643	3.37094	2.89958	2.15552	2.29781	3.6811	2.1478
LOC129405787	1.2384	0.830801	1.18789	0.654761	0.46395	0.555999	0.556785	0.740155	1.22248	0.922907	1.02953	1.88851	0.94335	0.956623	1.67418	0.646227	0.68494	1.16338	1.83163	0.917226	0.725106	0.813971	1.73355	0.815898
LOC129405788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405793	0	0	0	0	0.959395	0	0	0	0	0.518829	0.565327	0	0	0	0.906748	0.89845	0	2.15888	0.433099	0	0	0	0	0
LOC129405794	2.80379	1.89652	0.233553	2.89136	0	0	0	0	0	2.19565	5.27136	0	0.293474	0	0.6342	0.251856	0	0	3.42656	2.82757	0	3.03049	1.88906	1.3721
LOC129405797	0	0.111253	0	0	0	0	0	0	0	0	0	0	0.16216	0	0	0	0	0	0.226414	0	0	0	0	0
LOC129405799	2.40365	1.15782	3.44014	3.37074	1.99434	1.16618	0.738604	5.35522	1.36207	2.01869	1.18686	2.09044	1.49438	5.9147	11.5012	2.1005	0.922736	6.27068	6.78708	9.69108	1.3749	1.32646	3.16427	5.73012
LOC129405800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405801	0	0	0	0	0	0	0	0	0	0.286684	0	0	0	0	0	0	0	0	0	0	0	0.257764	0	0.254585
LOC129405804	0	0.697253	0	1.66617	0	1.12282	0.735048	0.372216	1.76951	0	0	0	0	0	1.83326	0.733057	0.348496	0.349787	0.360256	0	0.355858	1.90225	0.408816	0.376233
LOC129405805	2.92809	1.78409	0.990569	1.08388	1.02645	1.05057	0.933285	0.973517	1.18805	0	0	0	0	0	0	0.954673	0	0	0	0	1.84022	3.08024	0	0
LOC129405806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405809	23.1774	15.6295	10.6123	14.1058	8.774	21.1604	19.3697	21.372	18.3621	19.2206	18.5593	21.5563	21.1045	16.0605	18.3019	20.2283	14.1639	17.0325	25.5445	24.1845	23.9259	26.5285	18.9078	20.023
LOC129405812	0.421444	0.691778946	1.26516	0.772351	1.4929	1.62542	0.829948	0.548215	1.65676	0.61949904	0.869736	1.2941	0.669267	0.57120304	1.31199	1.699096088	1.06947	1.20518	0.606462	1.40846	0.645923824	0.782878568	1.19909	0.96359
LOC129405814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405817	9.37495	0	0	0	0	12.4136	0	0	3.22171	0	5.20623	3.63572	7.4141	0	3.77509	0	3.14066	0	0	4.54838	2.13232	0	0	0
LOC129405818	2437.28	2660.26	1770.3	1613.74	2287.92	4253.18	1804.84	1341.85	1900.59	4165.77	1469.8	1415.6	1791.74	3787.75	3589.64	11019.4	5079.25	1644.99	1542.32	4296.42	2230.74	1986.18	1945	2201.83
LOC129405819	0.854619	0	0	0.893526	0.849381	0	0	1.63567	0	0	0	0	0	0	0	0	0	0	0	0	0.734122	0.810443	0	0
LOC129405820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405821	1.95209	11.3299	12.6629	14.3954	18.2848	8.90049	5.98662	7.45608	8.17363	6.27031	4.95798	2.61041	4.33098	6.63751	2.99033	3.88646	1.56876	4.17204	6.18561	5.83919	5.25169	0.625811	1.68255	3.09404
LOC129405822	0	0	0	0.406273	0	0	0	0	0	0	0.445275	0	0	0	0	0	0.3411	0	0	0	0.333383	0	0	0
LOC129405824	0	0	0	0.417925	0	0	0.37372	0	0	0.428135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405826	0.0897057	0.450165	0.400313	0.622298	0.314954	0.358213	0.22756	0.279571	0.219008	0.217298	0.139881	0.26302	0.91263	0.216765	0.638526	0.351774	0.564572	0.420153	0.59605	0.934875	0.390188	0.335225	0.379549	0.542373
LOC129405827	0.80821	2.45944	1.52578	2.08088	2.23771	1.51413	1.85753	0.629999	1.6147	0.431769	0.788856	1.32856	1.87732	2.26171	1.98087	1.965	1.42667	1.66874	2.26406	1.33196	2.57959	1.84886	1.42098	1.5383
LOC129405828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405829	0.181834	0.15806	0.293864	0	0.447047	0.211905	0.125503	0.213596	0.0985534	0.385807	0.266141	0.167449	0.115531	0.271838	0.0838877	0.332873	0.082629	0.121188	0.161037	0.171458	0.276699	0.0879913	0	0.0434722
LOC129405830	0	0	0.275455	0.618815	0	0.141039	0	0	0	0.482331	0	0	0	0	0	0	0	0.265875	0	0	0.131034	0	0.46613	0
LOC129405831	1.4263	0	0.563167	0	1.49734	0	0.854471	1.43833	1.01207	1.96602	5.74539	0.938446	1.55959	0.739634	1.13021	1.40581	0.267853	0.271929	0.545033	0	0.268908	0.58716	0.317196	0.291431
LOC129405832	2.46921	1.46126	10.3551	13.7594	1.54799	1.78394	3.42025	1.49837	4.02067	3.40594	2.45795	4.46571	1.90993	1.40469	4.8522	0.800525	3.28768	2.45326	2.44355	4.73604	0.600899	2.66037	6.42293	2.53103
LOC129405834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0696154	0	0	0	0	0	0	0	0	0
LOC129405838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405843	19.11421	10.4943600365585	13.67507	15.012164	6.54840128121	9.440735	6.219081	14.927	4.35197	10.708389	9.778718	7.70034	11.985111	9.92138	11.437807	5.09366	17.8417	16.70801	11.9835362	8.04606	13.25002	4.94879	15.881277	6.16799
LOC129405845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362101	0	0
LOC129405852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405879	0.104551	0.363581	0.096069	0.54	0.204772	0	0.288452	0	0	0	0	0.128721	0.53039	0	0.673538	0.477249	0.838681	0.277945	0.185049	0	0	0	0.216128	0.199323
LOC129405881	0	0	0	0	0	0	0	0	0	0.175031	0	0	0	0	0	0.446959	0	0	0.144547	0	0	0.314471	0	0
LOC129405882	0	2.67914	3.9285	3.76299	2.39444	3.91883	6.69396	2.36833	4.65894	2.5044	4.85562	5.25431	5.4177	0	7.27449	8.16886	4.7787	1.61137	2.7448	2.84354	2.07245	3.55214	4.19556	1.6798
LOC129405883	0	0	0	0.0804224	0	0.0926795	0	0	0	0	0	0	0.121591	0	0.178784	0.0793601	0	0	0	0	0	0	0	0
LOC129405884	0.1198	0.0345094	0	0	0	0	0	0	0	0.0533119	0	0	0	0.0474455	0.110265	0	0	0	0	0.0277037	0.0517526	0	0.061959	0
LOC129405886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405891	0	0	0.21611	0	0	0	0	0.110218	0.38449	0	0.137881	0.290059	0	0.423353	0.324849	0	1.14928	0.312775	0.208334	0.17881	0.512286	0.113434	0	0.11214
LOC129405893	0.566247	0.421871	1.19783	1.55905	0.597709	1.41217	0.539872	1.1608	1.07256	0.642339	0.40252	0.347235	0.617271	0.652521	1.11691	1.51905	1.2048	1.38543	0.895791	1.18462	0.580131	0.627288	1.88237	0.928087
LOC129405894	0	0	0	0	0	0	0	0	0	0	0	0	0.0864564	0.0812515	0.129946	0.021339	0.0207535	0	0	0.0356113	0.0591007	0	0.026368	0.0227202
LOC129405897	0.23937	0.140492	0.299777	0.251473	0.323128	0.318092	0.0737222	0.226662	0.358109	0.175651	0.186891	0.301112	0.303428	0	0.074422	0.298811	0.230611	0.0720773	0.0715315	0.318418	0.511945	0.548512	1.53753	0.677201
LOC129405898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405902	0	0	0	0	0	0	0	0	0	0	0.347091	0	0	0	0	0.540133	0	0	0	0	0.129044	0	0	0
LOC129405903	0.319149	0	0.586421	0.769104	0.104166	0.199002	0.880498	0.29897	0.462944	0	0.3744	0.130987	0.134912	0.382425	0.39159	0.388457	0.473813	0.659842	0.0941434	0.968462	0.462861	0.512877	0.109956	0.304193
LOC129405905	1.28033	2.83284	5.2914	2.67117	2.52696	3.00904	2.36466	1.82497	0.707824	1.36411	2.19468	3.94183	0	3.03959	2.93451	2.95201	4.00151	0.568293	1.12936	1.00036	3.36211	2.45444	5.2781	3.6616
LOC129405906	0.0849072	0.295253	0.156297	0.527285	0.249794	0	0	0.238882	0.184509	0.632516	0.198865	0.104441	0.107753	0.101673	0.234623	0.620661	0.913997	0.0753105	0.150317	0.44999	0	0.163952	0.43886	0.0810227
LOC129405908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405909	1.1982	0.722074	2.92581	2.54221	1.44449	0.743508	0.929552	1.37412	0.784485	0.938733	0.503975	0.871996	1.11363	0.239792	1.19823	0.572256	0.734041	0.270314	0.668361	0.917461	0.807135	0.614623	0.974753	0.501927
LOC129405910	0	0	0	0	0	0	0	0	0	0	0	0.124807	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405912	8.65054	10.0911	8.85054	15.4887	8.4684	5.42899	7.35083	7.99972	5.48088	10.0414	5.38622	6.33769	8.19223	7.47972	9.26924	9.4949	11.0108	7.56686	6.87977	6.97991	6.09846	6.96703	8.48813	12.5221
LOC129405914	3.38362	0.326868	0.804648	0.516736	9.92599	3.40257	2.18922	2.69745	5.45963	1.60557	7.7792	17.9146	4.28834	5.55942	4.49391	3.65778	6.76763	1.77508	3.43711	0.285716	3.27224	3.62081	15.5412	3.81835
LOC129405916	0	0	0.110711	0	0	0	0	0.112939	0	0.129616	0	0	0.152934	0.14865	0	0	0	0	0.10675	0	0	0	0	0.114907
LOC129405917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405919	0	0.84822	0	0.284942	0	0	0	0.433909	0	0.550867	0.705814	0	0	0	0.665144	0.211322	0	0.410468	0.884181	0.185947	0.202659	0	0	1.27929
LOC129405920	0.268365	0.75813	2.0895134	2.445287992	1.091891174	0.3750599	1.34079697	0.473156	0.6904144	0.81774569	0.746275071	2.2247689	1.50362283	0.969450177	1.40490477	0.529380433	0.397917	0.9287449	0.594266378	0.606652718	0.233324	0.59581716	1.587992	0.24928
LOC129405921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405940	1.72111	1.32982	2.68601	0.556818	1.81266	1.85349	1.44322	6.50795	3.77118	1.05435	1.34348	0.93892	3.30568	1.82929	6.79324	7.24898	0.766565	2.20995	1.59215	1.23978	7.51554	6.40661	2.8872	1.20747
LOC129405941	711.421	36.991	10477.6	3046.59	3938	138.068	13.3996	509.232	11.7715	52.2841	231.437	125.338	370.313	120.972	144.316	2766.49	652.604	22.7348	380.782	450.637	15.0927	57.3098	124.286	148.308
LOC129405942	34.7867	5.32036	2377.69	203.146	1223.54	7.53562	2.45423	111.957	26.5212	3.53671	37.4169	16.4324	55.7541	31.6642	50.1409	1270.74	105.745	2.37553	230.902	166.594	87.7614	132.436	2.0574	32.5039
LOC129405943	0.134702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234508	0	0	0
LOC129405945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405949	0	0	0	0	0	0	0	0.0138439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405951	0	0	0	0	0	0	0	0	0	0	0	0	0.140269	0	0	0	0	0	0	0	0.288799	0	0	0
LOC129405953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334255	0
LOC129405956	0.121973	0.0635926	0.145028	0.357306	0.198497	0.208626	0.15779	0.127293	0.105513	0.213438	0.0857065	0.269159	0.113895	0.0802772	0.157796	0.0670711	0.266694	0.330678	0.064843	0.0848344	0.0778563	0.0652432	0.347483	0.172959
LOC129405960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405961	0.700461	0.615803	0	0	0	0.992901	0	5.26822	0.774244	0.373857	0	0	0	0	0	0.971242	0	0	0	0.272765	0	0.336373	0	0
LOC129405962	0.0513713	0.178622	0	0.160051	0.0504981	0.239542	0	0.627391	0.167117	0.38167	0.120306	0.0630934	0	0.122901	0.142162	0.0940181	0.0465966	0	0	0.116319	0.044673	0	0	0
LOC129405964	4.35565	6.84204	7.61634	8.02575	7.88316	4.82371	3.02941	5.24443	3.65061	5.30586	3.6627	4.44795	7.75735	5.14222	5.46078	4.53071	6.16251	5.21234	7.16372	6.89171	4.22725	7.22322	5.90446	5.56853
LOC129405968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.577589	0	0
LOC129405970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129405999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406000	13.8437	8.25943	11.0801	6.17766	15.7052	11.1429	7.79751	12.3011	3.24161	12.1115	1.89146	4.97003	10.8499	10.0532	0	11.0769	6.5239	8.78037	4.99024	6.0664	12.2605	6.46621	11.8736	8.24002
LOC129406001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129406011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
